url,dispositivo,score,fcp_chrux (ms),fcp_chrux_score,fid_chrux (ms),fid_chrux_score,lcp_chrux (ms),lcp_chrux_score,cls_chrux,cls_chrux_score,fcp_lighthouse (ms),fcp_lighthouse_score,lcp_lighthouse (ms),lcp_lighthouse_score,cls_lighthouse,cls_lighthouse_score,max_potential_fid (ms),max_potential_fid_score,tbt (ms),tbt_score,speed_index (ms),speed_index_score,tti (ms),tti_score,total_size (KB),total,img_size (KB),img,js_size (KB),js,css_size (KB),css,fonts_size (KB),fonts,html_size (KB),html,others_size (KB),others,media_size (KB),media,third_party_size (KB),third_party
https://declarando.es/iva-autonomos/inversion-sujeto-pasivo,mobile,0.21,4417,SLOW,24,FAST,4524,SLOW,0.0,FAST,3878,0.26,11624,0.0,0,1,412,0.16,3088.0,0.03,8798.3,0.16,13437.5,0.12,1670.89,106,824.82,31,632.52,41,99.8,18,70.89,3,30.23,1,12.64,12,0.0,0,735.12,57
https://declarando.es/iva-autonomos/inversion-sujeto-pasivo,desktop,0.78,3749,SLOW,2,FAST,4264,SLOW,0.0,FAST,907,0.91,2343,0.52,0,1,73,0.99,18.5,1.0,4179.2,0.09,1515.5,0.99,1456.32,104,655.22,31,632.74,41,99.74,18,25.41,1,30.36,1,12.86,12,0.0,0,634.51,57
